Date,Amount_INR,Transaction_Status,Fraud_Flag,Is_Success,State,Merchant_Category,Transaction_Type,Device_Type,Network_Type,Sender_Bank,Receiver_Bank,Sender_Age_Group,Transaction_Authenticity
2024-03-05,1019,Success,0,1,West Bengal,Utilities,Bill Payment,Android,4G,HDFC,PNB,26-35,Authenticated
2024-12-12,318,Success,0,1,Andhra Pradesh,Other,Recharge,iOS,4G,ICICI,UPI-Pay,26-35,Authenticated
2024-02-21,362,Success,0,1,Rajasthan,Grocery,P2M,Android,WiFi,ICICI,Axis,26-35,Authenticated
2024-08-10,685,Success,0,1,Karnataka,Other,P2P,Android,5G,Paytm Bank,HDFC,36-45,Authenticated
2024-05-15,783,Success,0,1,Andhra Pradesh,Entertainment,P2M,Android,WiFi,Yes Bank,HDFC,36-45,Authenticated
2024-02-07,1216,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,WiFi,ICICI,PNB,26-35,Authenticated
2024-07-31,356,Success,0,1,Delhi,Grocery,P2M,iOS,4G,HDFC,Axis,36-45,Authenticated
2024-04-25,190,Success,0,1,West Bengal,Other,P2M,Android,4G,Yes Bank,Paytm Bank,36-45,Authenticated
2024-12-18,1466,Success,0,1,Gujarat,Other,P2M,Android,4G,Yes Bank,UPI-Pay,26-35,Authenticated
2024-04-20,433,Success,0,1,Telangana,Utilities,Bill Payment,Android,5G,PNB,HDFC,18-25,Authenticated
2024-12-16,876,Failed,0,0,Rajasthan,Other,Recharge,iOS,5G,Axis,ICICI,26-35,Authenticated
2024-05-19,791,Success,0,1,Telangana,Utilities,Bill Payment,Android,4G,SBI,Paytm Bank,18-25,Authenticated
2024-07-04,648,Failed,0,0,Andhra Pradesh,Healthcare,P2M,Android,4G,HDFC,SBI,18-25,Authenticated
2024-02-21,345,Success,0,1,Telangana,Utilities,Bill Payment,Android,WiFi,UPI-Pay,SBI,56+,Authenticated
2024-05-02,198,Success,0,1,Delhi,Other,P2P,Android,5G,UPI-Pay,Axis,18-25,Authenticated
2024-08-02,530,Success,0,1,Rajasthan,Other,Recharge,Android,4G,Paytm Bank,UPI-Pay,36-45,Authenticated
2024-08-12,1315,Success,0,1,Uttar Pradesh,Other,P2P,Android,5G,Paytm Bank,SBI,36-45,Authenticated
2024-04-17,1360,Success,0,1,Maharashtra,Entertainment,P2M,Android,4G,SBI,HDFC,36-45,Authenticated
2024-12-15,1409,Success,0,1,Gujarat,Transport,P2M,Android,4G,Axis,ICICI,18-25,Authenticated
2024-11-12,796,Success,0,1,Rajasthan,Other,P2P,Android,5G,HDFC,ICICI,26-35,Authenticated
2024-11-24,1029,Success,0,1,Andhra Pradesh,Other,P2P,Android,5G,SBI,PNB,18-25,Authenticated
2024-05-25,706,Success,0,1,Gujarat,Other,P2P,Android,5G,HDFC,SBI,26-35,Authenticated
2024-07-31,153,Success,0,1,Karnataka,Other,P2P,Android,WiFi,HDFC,SBI,18-25,Authenticated
2024-11-07,898,Success,0,1,Maharashtra,Other,P2P,Android,4G,Axis,ICICI,18-25,Authenticated
2024-01-10,645,Success,0,1,Karnataka,Other,P2P,Android,4G,Yes Bank,HDFC,18-25,Authenticated
2024-06-14,1380,Success,0,1,Andhra Pradesh,Other,P2P,Android,4G,Paytm Bank,PNB,36-45,Authenticated
2024-01-23,1220,Success,0,1,Uttar Pradesh,Other,P2P,iOS,4G,Axis,SBI,26-35,Authenticated
2024-05-04,1331,Success,0,1,Rajasthan,Other,P2P,Android,4G,SBI,PNB,26-35,Authenticated
2024-03-23,431,Failed,0,0,Maharashtra,Utilities,Bill Payment,Android,4G,Yes Bank,ICICI,36-45,Authenticated
2024-12-10,590,Success,0,1,Karnataka,Utilities,Bill Payment,Android,4G,Yes Bank,Axis,36-45,Authenticated
2024-08-28,1225,Success,0,1,Gujarat,Healthcare,P2M,Android,4G,HDFC,Paytm Bank,18-25,Authenticated
2024-05-07,1063,Success,0,1,Gujarat,Fuel,P2M,iOS,5G,HDFC,Paytm Bank,26-35,Authenticated
2024-06-12,256,Success,0,1,Uttar Pradesh,Utilities,Bill Payment,Android,5G,Paytm Bank,HDFC,56+,Authenticated
2024-12-14,1138,Success,0,1,Tamil Nadu,Other,P2P,Android,5G,ICICI,Paytm Bank,36-45,Authenticated
2024-10-02,434,Success,0,1,Delhi,Other,P2P,iOS,4G,PNB,Paytm Bank,36-45,Authenticated
2024-06-22,917,Success,0,1,West Bengal,Other,Recharge,Android,WiFi,Paytm Bank,Yes Bank,26-35,Authenticated
2024-09-05,748,Success,0,1,Rajasthan,Other,P2P,iOS,4G,SBI,PNB,18-25,Suspicious
2024-09-30,6865,Success,0,1,Telangana,Other,P2P,Android,4G,HDFC,ICICI,46-55,Authenticated
2024-11-28,1133,Success,0,1,Maharashtra,Other,P2P,Android,4G,Yes Bank,Paytm Bank,26-35,Authenticated
2024-05-07,1119,Success,0,1,Delhi,Other,P2P,Android,4G,SBI,Paytm Bank,18-25,Suspicious
2024-02-22,605,Success,0,1,Tamil Nadu,Other,P2M,iOS,5G,Paytm Bank,PNB,56+,Authenticated
2024-10-22,1478,Success,0,1,Maharashtra,Other,P2P,iOS,5G,Yes Bank,SBI,46-55,Authenticated
2024-01-26,963,Success,0,1,Telangana,Utilities,Bill Payment,Android,5G,Paytm Bank,UPI-Pay,26-35,Authenticated
2024-11-20,1313,Success,0,1,Tamil Nadu,Other,P2P,Android,4G,SBI,PNB,18-25,Authenticated
2024-05-28,1099,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,4G,SBI,PNB,26-35,Authenticated
2024-05-07,279,Failed,0,0,West Bengal,Other,P2P,Android,4G,HDFC,UPI-Pay,46-55,Authenticated
2024-03-03,778,Success,0,1,Uttar Pradesh,Other,P2P,iOS,WiFi,UPI-Pay,Yes Bank,26-35,Authenticated
2024-07-07,1213,Success,0,1,Tamil Nadu,Utilities,Bill Payment,Android,5G,Yes Bank,SBI,36-45,Authenticated
2024-05-04,908,Success,0,1,Tamil Nadu,Utilities,Bill Payment,Android,5G,ICICI,Yes Bank,26-35,Authenticated
2024-04-08,287,Success,0,1,Karnataka,Other,P2P,Android,4G,PNB,ICICI,26-35,Authenticated
2024-10-18,598,Success,0,1,Gujarat,Other,P2P,Android,5G,Axis,ICICI,18-25,Authenticated
